no_opt,opt
8403,12063
8250,8290
8362,8325
8295,8311
8267,8236
8296,8301
8241,8318
8287,8244
8256,8282
8430,8259
8313,8361
8288,8250
8301,8440
8389,8289
8278,8677
8408,8316
8302,8225
8369,8349
8407,8271
8345,8285
8752,8335
8296,8275
8451,8250
8329,8332
8370,8249
8381,8381
8353,8234
8391,8501
9196,8245
8319,8282
8422,8335
8396,8250
8348,8266
8398,8256
8411,8525
8474,8326
8356,9172
8380,8295
8365,8381
8418,8260
8373,8322
8392,8320
8920,8318
8465,9459
9577,8370
8306,8256
8428,8262
8387,8510
8503,8281
8325,8294
8958,8257
8394,9216
8396,8280
8440,8274
8398,8271
8604,8279
8384,8273
8412,8372
8397,8296
8442,8246
8550,8339
8364,8254
8405,8337
8370,8287
8430,8346
8358,8250
8413,8389
8380,8236
8430,8287
8428,8272
8369,8260
8388,8286
8409,8277
8382,8314
8433,8269
8388,8251
8362,8300
8430,8304
8371,8259
8426,8292
8380,8264
8378,8296
8432,8305
8574,8278
8448,8266
8359,8347
8493,8246
8379,8485
8481,8245
8472,8286
8419,8271
8442,8255
8454,8273
8360,8253
