no_opt,opt
1161,907
1123,906
1107,923
1103,907
1103,916
1133,934
1161,920
1173,915
1138,905
1152,908
1190,923
1109,914
1160,951
1123,901
1105,905
1183,959
1099,916
1103,905
1104,910
1197,919
1222,911
1149,920
1118,911
1165,906
1125,922
1097,922
1215,923
1260,914
1236,917
1240,911
1222,899
1170,915
1207,933
1238,966
1233,917
1159,907
1189,903
1171,903
1093,928
1108,925
1121,906
1150,902
1115,918
1101,923
1096,924
1154,906
1159,910
1147,924
1171,919
1216,903
1101,947
1233,903
1190,927
1169,902
1239,903
1236,965
1250,955
1155,906
1229,902
1229,905
1233,900
1237,929
1236,900
1225,904
1234,899
1230,916
1228,972
1230,923
1239,901
1244,910
1241,922
1228,918
1258,930
1237,923
1224,903
1230,903
1235,917
1229,1003
1234,926
1235,901
1239,904
1238,905
1239,913
1228,956
1234,917
1228,903
1236,905
1234,923
1229,921
1233,945
1233,910
1244,901
1233,916
1237,917
1227,941
1244,898
1228,912
1259,918
1241,925
1235,993
1230,1100
1222,980
1228,906
1226,903
1236,903
1234,947
1223,944
1234,899
1230,907
1233,905
1236,904
1237,937
1198,902
1192,904
1182,903
1105,903
1182,920
1230,948
1108,912
1100,911
1104,915
1120,939
1094,916
1123,1012
1108,1009
1117,951
1105,905
1097,902
1096,901
1104,902
1122,925
1150,906
1111,905
1108,900
1107,1021
1123,973
1100,933
1152,907
1688,1008
1906,1008
1151,1008
1532,1004
1288,935
1715,985
1264,910
1229,906
1255,912
