no_opt,opt
9087,8885
9142,8881
9106,8905
9271,8889
9126,8897
9094,9071
9125,8793
9182,8902
9975,8885
9096,8965
9724,8882
9144,8916
9159,8911
9120,8882
9154,8930
9121,8939
9059,9031
9140,8882
9107,9159
9164,8852
9898,9039
8776,8890
9220,8923
8733,8945
8759,8880
8686,9461
8769,8875
8897,8901
8743,8997
8836,8888
8874,8888
8850,8921
8871,8924
8895,8861
8895,8850
8870,8921
9228,8876
8891,8922
9003,8878
8951,9065
8907,8891
8925,8869
8985,8904
9006,8810
8900,8782
9011,8692
8962,8782
8999,8685
8987,9661
8954,8714
8962,8757
8985,8728
9083,8706
8898,8799
8981,8708
8999,8862
8980,8722
8963,9047
8994,8682
9013,9481
8977,8688
8997,8998
9009,8747
8995,8700
9014,8873
9025,8700
8972,8819
9018,8710
9096,8791
8996,8709
9058,8717
9002,8735
9066,8696
8902,8765
9041,8701
9060,8879
8982,8712
