no_opt,opt
8727,8883
8713,8702
8748,8762
8711,8709
8760,8712
8713,8827
8859,8739
8702,8727
8694,8706
8747,8782
8860,8675
8734,8842
8695,8689
8969,8756
8815,8688
9633,8756
8824,8785
8734,8957
8736,8697
8742,8739
8926,8850
8795,8687
11563,9459
9532,8696
9654,8759
8729,8705
8779,8740
8771,8698
8703,8694
8753,8834
8716,8700
8812,8793
8691,8727
8787,8727
8703,8714
8825,8733
8704,8761
8728,8669
8786,8739
8696,8704
8736,8732
8717,8694
8765,8784
8728,8701
8779,8710
8684,8886
8745,8699
9454,8793
8727,8704
8782,8778
8834,8728
8761,8836
8742,8688
8824,8975
8814,8744
8763,9032
8791,8776
8805,8716
8775,8737
8824,8713
9104,8756
8812,8753
8780,8728
8840,8717
8737,8755
8906,8759
8774,8716
8879,8755
8755,8710
8815,8746
8819,8770
8826,8703
8776,8735
8846,8719
8796,8746
8782,8729
8837,8698
8797,9906
9073,8762
8810,8698
9316,8871
9571,8733
8730,8750
8931,8700
8800,8757
8828,8849
8796,8696
8819,8804
8814,8696
8801,8786
8798,8688
8818,8794
8786,8686
8802,8740
8847,8968
8809,9168
8878,8736
8769,8728
8798,8757
8823,8711
8819,8773
8828,8709
8776,8731
9148,8736
8732,8727
9922,8715
8853,8715
8737,8752
8980,8702
8804,12513
8821,8781
8823,8741
8845,8747
8807,8744
8809,9178
8860,8776
8828,8747
9118,8822
8885,8712
8803,8759
8772,8688
8837,8767
8831,8686
8970,8792
8819,8815
8806,8766
8842,8700
8838,8737
8836,8717
8836,8714
8808,8751
8944,8723
8740,9001
8877,8720
8819,8846
9070,8757
8696,9086
8818,8804
8957,8802
8800,8775
8952,8702
8731,8800
8866,8741
8818,8724
8958,8796
8818,8737
9389,8920
8829,8707
8830,8813
8830,8703
8801,8740
8802,8713
8918,8756
8805,8872
8850,8758
8842,8758
8832,8706
8825,8814
8867,8696
8788,8793
8853,8677
8844,8820
8808,8732
8853,8740
9883,8698
8813,8784
8956,8881
9583,8748
9117,8888
9187,8761
8775,8855
8751,8725
8880,8750
8806,8727
8924,8720
8782,9114
8782,8840
8860,8838
8850,8729
8826,8739
8796,8761
9306,10410
8732,8976
8838,8718
8760,8707
8861,8740
8842,8728
8813,8812
8876,8737
8818,8764
8872,8711
8791,8793
8830,8715
8836,8706
8868,9535
8851,8785
