no_opt,opt
8375,9016
8417,9060
8305,9044
8357,9004
8347,9026
8418,9065
8376,9018
8384,9021
8766,9024
8462,9064
8604,8998
8330,9005
8933,9060
8692,8999
10708,9027
8328,9029
8413,9001
8563,9049
8818,9017
8282,9020
8337,8989
8695,9001
8354,9025
8792,9035
8466,9182
8272,9019
8645,8991
8328,9084
8377,8990
8337,9138
8331,9074
8290,9024
8283,9079
8333,9028
8353,8991
8243,9040
8301,8987
8227,9608
8493,9005
8235,8998
8289,9013
8264,9066
8479,9026
8284,9044
8904,9057
8270,9040
8302,9086
8232,8980
8343,9300
8996,9011
8493,9018
8306,9077
8262,9044
8258,9178
8285,9009
8442,9012
8248,9023
8352,9038
8279,9118
8274,9489
8257,9026
8313,8943
8296,9127
8260,8991
8227,9021
8305,9042
8494,9035
8281,9209
8239,8999
8248,9041
8267,9019
8227,9024
8278,9259
8250,9009
8299,9013
8290,9072
8330,8993
8377,9015
8358,9044
8261,9026
8425,9045
8223,9124
8350,9149
8272,9295
8232,8987
8280,9076
8280,9038
8247,9004
8311,9090
8249,9068
8249,9016
8271,9033
8226,9034
8220,9061
8225,9053
8244,9008
8276,9027
8251,9031
8266,9034
8227,9055
8486,8989
8286,9097
8294,9095
8317,9035
8315,9054
8253,9005
8304,9145
8274,8991
8243,9089
8268,9021
8267,9051
8250,9157
8284,9061
8274,9035
8276,9058
8260,9031
8291,9056
8241,9023
8245,9039
8279,9012
8296,9022
8259,9022
8308,9066
8256,9018
8257,9047
8263,9018
8227,9047
8337,9029
8282,9050
8262,9006
8250,9076
8275,9028
8246,9055
8316,9019
8369,9064
8260,9049
8327,9058
8332,9096
8309,9054
8302,9070
8530,9016
8299,9093
8378,9020
8251,9028
12054,9057
8254,9027
8302,9093
9743,8963
8426,9138
9647,8966
8497,9017
8600,9082
8954,9007
8548,9020
8617,9037
8593,9369
8563,9037
8563,9070
8741,9016
8241,9107
8267,9030
8253,9052
8266,9067
8267,9042
8781,9142
8330,9093
8261,8978
8299,9122
8256,9077
